attempt_id,run_id,proposal_id,family,implementation_class,window,measurement_scope,screening_route,screening_reason,status,decision,gate_code,reason,returncode,net,pf,dd_pct,trades,dd_below_30,profit_ratio,pf_ratio,dd_delta,deal_rows,deal_sha256,projected_sha256,effective_gj_lots,baseline_gj_lots,lot_step_verified,pb_usdjpy_rows,pb_gbpjpy_rows,rsi_usdjpy_rows,rsi_eurusd_rows,rsi_gbpusd_rows,pair_rows,carry_rows,sca_usdjpy_rows,sca_gbpjpy_rows,magic_gate_enabled,magic_gate_pass,regression_gate_enabled,regression_pass,is_net,is_pf,is_dd_pct,is_dd_below_30,oos_net,oos_pf,oos_dd_pct,oos_dd_below_30,ea_sha256,parameter_json,config_file,deal_file,from_date,to_date,started_at,finished_at,elapsed_seconds,error
a66f2b5874e742a1a12dd84016dc5a68,oafx_is_regression_baseline_20260823164605_a66f2b,REGRESSION_BASELINE,regression,gate,IS,,,,OK,REGRESSION_PASS,SHA256_EXACT,exact summary/raw/projected SHA and nine magics,0,277114.0,1.3945,35.6479,1573,False,,,,3146,521613F8935E2D7BEADA2DD6D02D9FD209E068734EAC5F29910C1C041445C329,81517DC67DAF18475C8F351821FEED485D3EF0D53C65EEE7607C3ACD29DAD248,0.01|0.06,0.01|0.06,,110,22,212,546,116,122,13,632,1370,True,True,True,True,,,,,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,{},ml\oafx_dd\configs\oafx_is_regression_baseline_20260823164605_a66f2b.yaml,ml\oafx_dd\run_deals\oafx_is_regression_baseline_20260823164605_a66f2b_deals.csv,2021.06.21,2026.06.20,2026-08-23T07:46:05+00:00,2026-08-23T07:53:03+00:00,417.896,
7198c864c30b4bcab3e4963a157f1db9,oafx_full_regression_baseline_20260823165303_7198c8,REGRESSION_BASELINE,regression,gate,FULL,,,,OK,REGRESSION_PASS,SHA256_EXACT,exact summary/raw/projected SHA and nine magics,0,390753.0,1.3163,30.749,2926,False,,,,5852,885BCD37AB82631D3A28B33393EADF57312C12CE32E6C7F2EE9981CC7F0AB2D9,CCA641EF5F7EFB714B2687AFE14713235B6C004A2CA7664B0514D74E7690E38C,0.01|0.06,0.01|0.06,,148,40,372,1076,242,178,25,1166,2602,True,True,True,True,,,,,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,{},ml\oafx_dd\configs\oafx_full_regression_baseline_20260823165303_7198c8.yaml,ml\oafx_dd\run_deals\oafx_full_regression_baseline_20260823165303_7198c8_deals.csv,2016.11.09,2026.06.20,2026-08-23T07:53:03+00:00,2026-08-23T08:06:26+00:00,803.604,
d13afcb8232546ef921309784273ef05,oafx_is_oafx0101_20260823170643_d13afc,OAFX0101,sca_gj_boost_rr_direction,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT,DD_NOT_IMPROVED,"IS net=223641.00 ratio=0.8071, PF=1.4509 ratio=1.0404, DD=39.0352% delta=+3.3852pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,223641.0,1.4509,39.0352,1573,False,0.807059392434664,1.0404446038006454,3.3852000000000046,3146,AFCCBF429C8DE713B51710BCDD5D20496F5DD8743834535039DB1F62386EEFC4,C50E96C6A6D20F07189BDD72575B1F657FEAE69FE8400081C32D2626A3FE94BD,0.01,0.01|0.06,True,110,22,212,546,116,122,13,632,1370,True,True,True,,223641.0,1.4509,39.0352,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBoostMult"": 1, ""OafxGJDirection"": 0, ""OafxGJRR"": 1.2, ""OafxLabMode"": 2}",ml\oafx_dd\configs\oafx_is_oafx0101_20260823170643_d13afc.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0101_20260823170643_d13afc_deals.csv,2021.06.21,2026.06.20,2026-08-23T08:06:43+00:00,2026-08-23T08:13:09+00:00,386.551,
b56efbcda9a14d42a26e6db3ff251dcc,oafx_is_oafx0201_20260823171309_b56efb,OAFX0201,sca_gj_break_confirmation,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT,DD_NOT_IMPROVED,"IS net=215157.00 ratio=0.7764, PF=1.4147 ratio=1.0145, DD=51.0083% delta=+15.3583pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,215157.0,1.4147,51.0083,1299,False,0.7764429496293836,1.0144854786661885,15.3583,2598,4902F8E3C98A16DF8CFF320E52C5E3B3B41CC34C1EE1652AA43953B6923A40B2,A7029C58607105251689AA91FD9F47BA026F3C53BC83AB4D0667539E9BD8DBF9,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,822,True,True,True,,215157.0,1.4147,51.0083,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBodyMinATR"": 0, ""OafxGJConfirmBars"": 2, ""OafxGJExtensionMaxATR"": 0.1, ""OafxLabMode"": 3}",ml\oafx_dd\configs\oafx_is_oafx0201_20260823171309_b56efb.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0201_20260823171309_b56efb_deals.csv,2021.06.21,2026.06.20,2026-08-23T08:13:09+00:00,2026-08-23T08:19:20+00:00,370.885,
41f93ab1c476482181f9f7a468d4dd04,oafx_is_oafx0001_20260823184534_41f93a,OAFX0001,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT_TRADEOFF,PROFIT_DAMAGE_GT10,"IS net=218814.00 ratio=0.7896, PF=1.3633 ratio=0.9776, DD=34.2779% delta=-1.3721pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,218814.0,1.3633,34.2779,1327,False,0.7896400655344886,0.977626389386877,-1.372099999999996,2654,A1AFACF9C9375B7333167B497B377DEF65736B2B7CFA316769014161FDF06667,5368AC24DD21DC25F55FC294FF0859B328909110A3C5A54A7A2733784DB7FB03,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,878,True,True,True,,218814.0,1.3633,34.2779,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0001_20260823184534_41f93a.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0001_20260823184534_41f93a_deals.csv,2021.06.21,2026.06.20,2026-08-23T09:45:34+00:00,2026-08-23T09:52:16+00:00,402.283,
54393ab198f044ac99443fd2cf48ee5f,oafx_is_oafx0002_20260823185216_54393a,OAFX0002,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT_TRADEOFF,PROFIT_DAMAGE_GT10,"IS net=224896.00 ratio=0.8116, PF=1.3927 ratio=0.9987, DD=35.2708% delta=-0.3792pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,224896.0,1.3927,35.2708,1280,False,0.8115883452541627,0.9987092147723198,-0.3791999999999973,2560,AACEA203916EAF748CF215003D355EF7506B733A5C40F8827E775296B8288986,4F73299C1CB3C3E71108288AFDF998B20647BD33EC22763698D8C813C7B82E9B,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,784,True,True,True,,224896.0,1.3927,35.2708,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0002_20260823185216_54393a.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0002_20260823185216_54393a_deals.csv,2021.06.21,2026.06.20,2026-08-23T09:52:16+00:00,2026-08-23T09:58:27+00:00,370.902,
d9864baa911c4b02982feeda7bcf5764,oafx_is_oafx0003_20260823185827_d9864b,OAFX0003,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT,DD_NOT_IMPROVED,"IS net=195996.00 ratio=0.7073, PF=1.3588 ratio=0.9744, DD=44.0144% delta=+8.3644pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,195996.0,1.3588,44.0144,1230,False,0.7072961249485756,0.9743994263176765,8.364400000000003,2460,AC7BA3F38A089207628C24CB8A3E6E000CB55A6748818DE4C46589B1802365FA,53B3BF3B666E6C1FD27347CA66C53B9896401F09D60DC08996881F3D13361AAC,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,684,True,True,True,,195996.0,1.3588,44.0144,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0003_20260823185827_d9864b.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0003_20260823185827_d9864b_deals.csv,2021.06.21,2026.06.20,2026-08-23T09:58:27+00:00,2026-08-23T10:04:38+00:00,370.985,
e0329ead7d8d415c9ac8532f28b3cc74,oafx_is_oafx0004_20260823190438_e0329e,OAFX0004,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT,DD_NOT_IMPROVED,"IS net=188264.00 ratio=0.6794, PF=1.3491 ratio=0.9674, DD=42.8676% delta=+7.2176pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,188264.0,1.3491,42.8676,1202,False,0.6793934451076483,0.9674435281462889,7.2176000000000045,2404,40CB63193C18769E0F00EE9F04B9B84C6C4045294D7B626ED4063A22DC455B91,2696A2ECCBCA607DF8ACB3D0B4B314403384105EF2AC6916532DB7E14A0EC103,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,628,True,True,True,,188264.0,1.3491,42.8676,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0004_20260823190438_e0329e.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0004_20260823190438_e0329e_deals.csv,2021.06.21,2026.06.20,2026-08-23T10:04:38+00:00,2026-08-23T10:10:49+00:00,371.059,
9e2a598dad604b21b67383ec3f66245f,oafx_is_oafx0005_20260823191049_9e2a59,OAFX0005,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT_TRADEOFF,PROFIT_DAMAGE_GT10,"IS net=207818.00 ratio=0.7500, PF=1.4087 ratio=1.0102, DD=34.1165% delta=-1.5335pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,207818.0,1.4087,34.1165,1178,False,0.7499584996355185,1.010182861240588,-1.5334999999999965,2356,CF2CD53A0BD2D1385EF2739930E267935A0F3B41BB322C7445F0577BF825FBBC,6D6687A2A1EE0EDE8954BEEA678C1E20EC2D5234F72D01152920F6B045A06902,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,580,True,True,True,,207818.0,1.4087,34.1165,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0005_20260823191049_9e2a59.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0005_20260823191049_9e2a59_deals.csv,2021.06.21,2026.06.20,2026-08-23T10:10:49+00:00,2026-08-23T10:17:01+00:00,371.151,
7ef8cc5204b04a87bb7b5e361a9d579d,oafx_is_oafx0006_20260823191701_7ef8cc,OAFX0006,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT_TRADEOFF,PROFIT_DAMAGE_GT10,"IS net=221289.00 ratio=0.7986, PF=1.3616 ratio=0.9764, DD=33.2350% delta=-2.4150pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,221289.0,1.3616,33.235,1370,False,0.7985716657163685,0.9764073144496234,-2.414999999999999,2740,2B2D7A99F0F054FECD1A2B6BB9F58098129393802F74BC7913C591DA88A39947,71DEEB104D9F7B446C2F1D4AF06CF378EEA53613CDE9BB036F89F5EA41DE00ED,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,964,True,True,True,,221289.0,1.3616,33.235,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0006_20260823191701_7ef8cc.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0006_20260823191701_7ef8cc_deals.csv,2021.06.21,2026.06.20,2026-08-23T10:17:01+00:00,2026-08-23T10:23:12+00:00,371.140,
059decd27c224cd292a3581d9b11adb0,oafx_is_oafx0007_20260823192312_059dec,OAFX0007,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT_TRADEOFF,PROFIT_DAMAGE_GT10,"IS net=226574.00 ratio=0.8176, PF=1.3890 ratio=0.9961, DD=34.2599% delta=-1.3901pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,226574.0,1.389,34.2599,1320,False,0.8176437897411098,0.9960559340265328,-1.3900999999999968,2640,3ABC0EC40CCB8827DA4D1B95D014E7863A1E2A5E05FAB50D02B05BD2B59F16B3,67296017897A2C55B283C186F7CF929002421E01079D9722B0AE003E2C4E90E0,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,864,True,True,True,,226574.0,1.389,34.2599,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0007_20260823192312_059dec.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0007_20260823192312_059dec_deals.csv,2021.06.21,2026.06.20,2026-08-23T10:23:12+00:00,2026-08-23T10:29:38+00:00,386.710,
0beeb01835de45fd917e5986e68e1e28,oafx_is_oafx0008_20260823192938_0beeb0,OAFX0008,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT,DD_NOT_IMPROVED,"IS net=197154.00 ratio=0.7115, PF=1.3553 ratio=0.9719, DD=43.2011% delta=+7.5511pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,197154.0,1.3553,43.2011,1265,False,0.7114750312154915,0.9718895661527428,7.551099999999998,2530,F27A9EFC9FFC942B508E6C0D266C1A659830CB86E592D3C58CA47CCB874FE7DC,F9CC6CBE91293DEA515EE6BC9350997EB28663F30820EFBAF91487F3B7F14AED,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,754,True,True,True,,197154.0,1.3553,43.2011,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0008_20260823192938_0beeb0.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0008_20260823192938_0beeb0_deals.csv,2021.06.21,2026.06.20,2026-08-23T10:29:38+00:00,2026-08-23T10:36:05+00:00,386.617,
84ce8bc3cdb6434483989d740cc188ca,oafx_is_oafx0009_20260823193605_84ce8b,OAFX0009,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT,DD_NOT_IMPROVED,"IS net=188901.00 ratio=0.6817, PF=1.3455 ratio=0.9649, DD=42.2005% delta=+6.5505pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,188901.0,1.3455,42.2005,1232,False,0.6816922044271867,0.9648619576909285,6.5504999999999995,2464,ADE717D16102C9FAF338EF43BDAAF84C404A71BEE9F483045224796DA41CCADA,054D64A9D313F52152E8B9E22C47F07AD887418D9B936A272CA494002601ECA3,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,688,True,True,True,,188901.0,1.3455,42.2005,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0009_20260823193605_84ce8b.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0009_20260823193605_84ce8b_deals.csv,2021.06.21,2026.06.20,2026-08-23T10:36:05+00:00,2026-08-23T10:42:16+00:00,370.847,
8195be206fe941fb9c33482c2649a2af,oafx_is_oafx0010_20260823194216_8195be,OAFX0010,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT_TRADEOFF,PROFIT_DAMAGE_GT10,"IS net=208333.00 ratio=0.7518, PF=1.4046 ratio=1.0072, DD=33.5901% delta=-2.0599pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,208333.0,1.4046,33.5901,1206,False,0.7518169942188188,1.0072427393330943,-2.059899999999999,2412,6D6671C8990B38D2510C7AD1F567F5D21A2718D756C9EF4247CE5CE5096E6B68,0B2A490AE1EB050D36512BB3FE85530741D56583DE725E0F25F9EF7B3E0D68E5,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,636,True,True,True,,208333.0,1.4046,33.5901,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0010_20260823194216_8195be.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0010_20260823194216_8195be_deals.csv,2021.06.21,2026.06.20,2026-08-23T10:42:16+00:00,2026-08-23T10:48:27+00:00,370.963,
dd5c02e96821476aaa3a5368c031f12b,oafx_is_oafx0011_20260823194827_dd5c02,OAFX0011,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT_TRADEOFF,PROFIT_DAMAGE_GT10,"IS net=244832.00 ratio=0.8835, PF=1.3956 ratio=1.0008, DD=34.9629% delta=-0.6871pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,244832.0,1.3956,34.9629,1392,False,0.8835319336282866,1.0007888131946934,-0.6871000000000009,2784,72AC88A4FEF405CBD06F47C7813F8DE282DFA0C786874DD03A663E4009CF5400,8F95B877E3938A1AE2D9250BB76655FE29DB315A0F34C3D448365CE9BEA6FD91,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,1008,True,True,True,,244832.0,1.3956,34.9629,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0011_20260823194827_dd5c02.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0011_20260823194827_dd5c02_deals.csv,2021.06.21,2026.06.20,2026-08-23T10:48:27+00:00,2026-08-23T10:54:53+00:00,386.318,
5c8083aee3f046049b546fad2b31d86f,oafx_is_oafx0012_20260823195453_5c8083,OAFX0012,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT,DD_NOT_IMPROVED,"IS net=248347.00 ratio=0.8962, PF=1.4208 ratio=1.0189, DD=35.9879% delta=+0.3379pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,248347.0,1.4208,35.9879,1342,False,0.8962166102502291,1.0188598063822158,0.33790000000000475,2684,4727E8A0C80F1188366505E3428E38A63A5DCBE2D370D0929C47662698698363,23607BA67021F37F582B1B753D956D80B372934A1E9CD0F133F2F7DB85F65CC5,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,908,True,True,True,,248347.0,1.4208,35.9879,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0012_20260823195453_5c8083.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0012_20260823195453_5c8083_deals.csv,2021.06.21,2026.06.20,2026-08-23T10:54:53+00:00,2026-08-23T11:01:04+00:00,371.010,
9468535ec2564ba5bedcb899a47a4a34,oafx_is_oafx0013_20260823200104_946853,OAFX0013,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT,DD_NOT_IMPROVED,"IS net=215183.00 ratio=0.7765, PF=1.3823 ratio=0.9913, DD=44.9291% delta=+9.2791pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,215183.0,1.3823,44.9291,1285,False,0.7765367765403852,0.9912513445679455,9.2791,2570,034A8784BB8E8FCB94ED07521CE28A755AF111B61B80BA48CF08F32056DABC9E,7052856BCC9EB35DAB617CAF7927BCE0D3613DC6E8146513125E3618D6CCC438,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,794,True,True,True,,215183.0,1.3823,44.9291,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0013_20260823200104_946853.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0013_20260823200104_946853_deals.csv,2021.06.21,2026.06.20,2026-08-23T11:01:04+00:00,2026-08-23T11:07:15+00:00,371.141,
c9b4c6ee3a1b4b2fb65e137fab9d519e,oafx_is_oafx0014_20260823200715_c9b4c6,OAFX0014,sca_gj_range_quality,2軽微なコード変更,IS,NINE_SLOT_FULLBOOK,SINGLE_SLEEVE_THEN_FULLBOOK,SCA GBPJPY枠内の条件だけを変更するため単独枠で予備選別し、通過時は枠間重複を含む9枠フルブックで必ず本測定,OK,IS_REJECT,DD_NOT_IMPROVED,"IS net=207814.00 ratio=0.7499, PF=1.3753 ratio=0.9862, DD=43.9285% delta=+8.2785pt, DD<30=NO; baseline net=277106.00, PF=1.3945, DD=35.6500%",0,207814.0,1.3753,43.9285,1251,False,0.7499440647261337,0.9862316242380781,8.278500000000001,2502,192B8FA1299A3CAD5B437D5AF6E08A310D3B83AA4903B93A885CAEA4CFAAC76A,19450F55D055C94CA941CD1D38B80AA4AC4EAB88AA974651F3B63779C8616F58,0.01|0.06,0.01|0.06,True,110,22,212,546,116,122,13,632,726,True,True,True,,207814.0,1.3753,43.9285,False,,,,,0D49956D4BED7DA20D648AF64AA886A235B27CA5F0DF8BBC87C0C2754182BD34,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",ml\oafx_dd\configs\oafx_is_oafx0014_20260823200715_c9b4c6.yaml,ml\oafx_dd\run_deals\oafx_is_oafx0014_20260823200715_c9b4c6_deals.csv,2021.06.21,2026.06.20,2026-08-23T11:07:15+00:00,2026-08-23T11:13:26+00:00,371.028,
