proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,pb2_net,pb2_n,sca3_net,sca3_n,description,parameter_json,elapsed,run_id
S3001,T1_window,IS,OK,608453.0,1.9054,4.855,2.0282,543,196940,63,179120,242,123237,91,,,109156,147,第3レンジ9-11時・EA既定の中心点（有効化）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.8,s3_is_S3001_20260905175245_e895
S3002,T1_window,IS,OK,556181.0,2.0703,4.3469,1.8539,409,196940,63,179120,242,123237,91,,,56884,13,第3レンジ7-8時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 8, ""Sca3RangeStart"": 7, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.7,s3_is_S3002_20260905175419_e8e6
S3003,T1_window,IS,OK,637705.0,2.0749,3.8132,2.1257,452,196940,63,179120,242,123237,91,,,138408,56,第3レンジ7-9時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 9, ""Sca3RangeStart"": 7, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3003_20260905175547_ef46
S3004,T1_window,IS,OK,590286.0,1.8079,5.5876,1.9676,541,196940,63,179120,242,123237,91,,,90989,145,第3レンジ7-10時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 10, ""Sca3RangeStart"": 7, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3004_20260905175721_a375
S3005,T1_window,IS,OK,571519.0,2.0796,4.5712,1.9051,426,196940,63,179120,242,123237,91,,,72222,30,第3レンジ8-9時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 9, ""Sca3RangeStart"": 8, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.7,s3_is_S3005_20260905175855_e32e
S3006,T1_window,IS,OK,702017.0,2.1857,4.2911,2.3401,501,196940,63,179120,242,123237,91,,,202720,105,第3レンジ8-10時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 10, ""Sca3RangeStart"": 8, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3006_20260905180023_1460
S3007,T1_window,IS,OK,679111.0,1.9333,4.6695,2.2637,629,196940,63,179120,242,123237,91,,,179814,233,第3レンジ8-11時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 8, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.8,s3_is_S3007_20260905180157_83e0
S3008,T1_window,IS,OK,588325.0,2.1085,4.6023,1.9611,430,196940,63,179120,242,123237,91,,,89028,34,第3レンジ9-10時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 10, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.7,s3_is_S3008_20260905180331_ea6e
S3009,T1_window,IS,OK,536233.0,1.665,7.6406,1.7874,647,196940,63,179120,242,123237,91,,,36936,251,第3レンジ9-12時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 12, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.8,s3_is_S3009_20260905180500_de89
S3010,T1_window,IS,OK,599339.0,2.211,3.2597,1.9978,436,196940,63,179120,242,123237,91,,,100042,40,第3レンジ10-11時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 10, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3010_20260905180634_8159
S3011,T1_window,IS,OK,533993.0,1.8387,5.8457,1.78,524,196940,63,179120,242,123237,91,,,34696,128,第3レンジ10-12時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 12, ""Sca3RangeStart"": 10, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3011_20260905180807_8cec
S3012,T1_window,IS,OK,515304.0,1.6998,6.6712,1.7177,612,196940,63,179120,242,123237,91,,,16007,216,第3レンジ10-13時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 13, ""Sca3RangeStart"": 10, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3012_20260905180941_cd7c
S3013,T1_window,IS,OK,513725.0,1.9489,4.5901,1.7124,434,196940,63,179120,242,123237,91,,,14428,38,第3レンジ11-12時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 12, ""Sca3RangeStart"": 11, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.7,s3_is_S3013_20260905181115_7d9c
S3014,T1_window,IS,OK,569344.0,1.9908,4.6151,1.8978,470,196940,63,179120,242,123237,91,,,70047,74,第3レンジ11-13時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 13, ""Sca3RangeStart"": 11, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3014_20260905181243_c7a8
S3015,T1_window,IS,OK,524341.0,2.1047,4.2166,1.7478,411,196940,63,179120,242,123237,91,,,25044,15,第3レンジ12-13時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 13, ""Sca3RangeStart"": 12, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.7,s3_is_S3015_20260905181417_7a9f
S3016,T2_trade_end,IS,OK,547616.0,2.0364,4.125,1.8254,454,196940,63,179120,242,123237,91,,,48319,58,第3レンジ9-11時・締切13h,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 13}",93.8,s3_is_S3016_20260905181546_1481
S3017,T2_trade_end,IS,OK,569584.0,1.9757,4.7948,1.8986,486,196940,63,179120,242,123237,91,,,70287,90,第3レンジ9-11時・締切15h,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 15}",88.7,s3_is_S3017_20260905181719_1fd3
S3018,T2_trade_end,IS,OK,577782.0,1.8821,4.6724,1.9259,517,196940,63,179120,242,123237,91,,,78485,121,第3レンジ9-11時・締切17h,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 17}",91.3,s3_is_S3018_20260905181848_ee7c
S3019,T2_trade_end,IS,OK,607117.0,1.9065,4.795,2.0237,538,196940,63,179120,242,123237,91,,,107820,142,第3レンジ9-11時・締切19h,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 19}",93.6,s3_is_S3019_20260905182019_20d4
